Fecha (GMT);Nivel medio (cm);Pleamar Max. (cm);Baja Mar Min. (cm);Carrera Max. (cm)
2012 05 17;25.5;35.8;17.8;18
2012 05 18;34.8;47.5;21.7;25.8
2012 05 19;42;54.3;32.5;21.8
2012 05 20;43.4;53.2;34.3;18.9
2012 05 21;35.3;42.6;25.9;16.7
2012 05 22;29.3;39.4;18.9;20.5
2012 05 23;26;36.3;18.4;17.9
2012 05 24;24.8;37.4;14.9;22.5
2012 05 25;28;42;18.5;23.5
2012 05 26;31.2;41.7;21.8;19.9
2012 05 27;29.4;39;19.7;19.3
2012 05 28;27.4;36.4;21.2;15.2
2012 05 29;26.2;34.5;21;13.5
2012 05 30;24.4;35.1;19.5;15.6
2012 05 31;22.5;28;15.4;12.6
2012 06 01;24.8;32;16.8;15.2
2012 06 02;28.8;38.9;19.1;19.8
2012 06 03;28.7;43.2;16.6;26.6
2012 06 04;25.4;36.9;15.7;21.2
2012 06 05;23.9;36.6;11.8;24.8
2012 06 06;26.8;40.2;17.7;22.5
2012 06 07;30.2;46;20.8;25.2
2012 06 08;28;38.8;17.1;21.7
2012 06 09;24.4;36.6;16.1;20.5
2012 06 10;26.2;36.3;19.6;16.7
2012 06 11;28.6;36.1;23.2;12.9
2012 06 12;25.7;36.1;20.2;15.9
2012 06 13;21.7;25.9;15.5;10.4
2012 06 14;22.7;28.3;17;11.3
2012 06 15;21;26.9;14.3;12.6
2012 06 16;18.1;25.7;9.8;15.9
2012 06 17;18.7;29.3;8.8;20.5
2012 06 18;22.2;35.2;13.3;21.9
2012 06 19;25;39.3;10.8;28.5
2012 06 20;26.4;37.8;15.8;22
2012 06 21;24.6;35.5;16.7;18.8
2012 06 22;19.8;29.6;9.6;20
2012 06 23;21.6;36;14.5;21.5
2012 06 24;22.3;30.2;13.6;16.6
2012 06 25;19;27.3;11.4;15.9
2012 06 26;18.5;27.5;13.4;14.1
2012 06 27;22.4;32.2;14.8;17.4
2012 06 28;28.4;34;20.4;13.6
2012 06 29;32.1;38.2;23.1;15.1
2012 06 30;35.4;45.1;26.7;18.4
2012 07 01;32.9;44.6;18.9;25.7
2012 07 02;29.1;40.7;17;23.7
2012 07 03;29;41.7;18.8;22.9
2012 07 04;29.4;44.3;18.9;25.4
2012 07 05;31.1;48.3;22.6;25.7
2012 07 06;30;41.9;20.7;21.2
2012 07 07;31.4;45.9;23.7;22.2
2012 07 08;31.5;43.2;22;21.2
2012 07 09;29.4;39.1;23.6;15.5
2012 07 10;30.2;37.2;25.2;12
2012 07 11;27.3;35.6;23;12.6
2012 07 12;23.8;29.5;15.5;14
2012 07 13;26.7;33.1;19.1;14
2012 07 14;28.1;40;17.4;22.6
2012 07 15;23.2;31.7;11.6;20.1
2012 07 16;17.2;24.2;9.4;14.8
2012 07 17;13.6;22.3;5;17.3
2012 07 18;16.6;27.7;8.3;19.4
2012 07 19;22.3;34.8;14.5;20.3
2012 07 20;26;39.7;18.1;21.6
2012 07 21;24;34.3;16.2;18.1
2012 07 22;21.5;33.1;14;19.1
2012 07 23;26;37.2;18.2;19
2012 07 24;29.7;37.2;23.7;13.5
2012 07 25;29;36.3;24.2;12.1
2012 07 26;29.6;40.6;20;20.6
2012 07 27;34.6;42.7;21.5;21.2
2012 07 28;36.2;44.7;27.7;17
2012 07 29;32.7;41.6;22.8;18.8
2012 07 30;29.6;40.3;20.9;19.4
2012 07 31;29.2;40.6;19.2;21.4
2012 08 01;31.4;46.5;20.3;26.2
2012 08 02;31.6;44.4;22.7;21.7
2012 08 03;30.9;44.3;20.8;23.5
2012 08 04;33.7;47;25.2;21.8
2012 08 05;37.2;49.3;31.5;17.8
2012 08 06;32.1;40.5;23;17.5
